10                                                         
10000     Doorman Elevator Fitness_Center Cats_Allowed D...
100004    Laundry_In_Building Dishwasher Hardwood_Floors...
100007                               Hardwood_Floors No_Fee
100013                                              Pre-War
Name: features, dtype: object
((49352, 217), (74659, 217))
[0]	train-mlogloss:1.07834	test-mlogloss:1.07879
Multiple eval metrics have been passed: 'test-mlogloss' will be used for early stopping.

Will train until test-mlogloss hasn't improved in 20 rounds.
[100]	train-mlogloss:0.567473	test-mlogloss:0.598888
[101]	train-mlogloss:0.566515	test-mlogloss:0.598144
[102]	train-mlogloss:0.565413	test-mlogloss:0.597308
[103]	train-mlogloss:0.564439	test-mlogloss:0.596566
[104]	train-mlogloss:0.563526	test-mlogloss:0.595924
[105]	train-mlogloss:0.562519	test-mlogloss:0.59513
[106]	train-mlogloss:0.56175	test-mlogloss:0.594587
[107]	train-mlogloss:0.560917	test-mlogloss:0.593941
[108]	train-mlogloss:0.559894	test-mlogloss:0.593155
[109]	train-mlogloss:0.558986	test-mlogloss:0.592533
[110]	train-mlogloss:0.55805	test-mlogloss:0.591852
[111]	train-mlogloss:0.557334	test-mlogloss:0.591288
[112]	train-mlogloss:0.556495	test-mlogloss:0.590585
[113]	train-mlogloss:0.555593	test-mlogloss:0.589943
[114]	train-mlogloss:0.554793	test-mlogloss:0.589398
[115]	train-mlogloss:0.554031	test-mlogloss:0.588825
[116]	train-mlogloss:0.553246	test-mlogloss:0.588264
[117]	train-mlogloss:0.552494	test-mlogloss:0.587672
[118]	train-mlogloss:0.551737	test-mlogloss:0.587122
[119]	train-mlogloss:0.550952	test-mlogloss:0.586577
[120]	train-mlogloss:0.550221	test-mlogloss:0.586116
[121]	train-mlogloss:0.549538	test-mlogloss:0.585684
[122]	train-mlogloss:0.548838	test-mlogloss:0.585201
[123]	train-mlogloss:0.548027	test-mlogloss:0.584677
[124]	train-mlogloss:0.547301	test-mlogloss:0.584195
[125]	train-mlogloss:0.54665	test-mlogloss:0.583752
[126]	train-mlogloss:0.545954	test-mlogloss:0.583311
[127]	train-mlogloss:0.545274	test-mlogloss:0.582905
[128]	train-mlogloss:0.544435	test-mlogloss:0.582306
[129]	train-mlogloss:0.543699	test-mlogloss:0.58184
[130]	train-mlogloss:0.543057	test-mlogloss:0.581381
[131]	train-mlogloss:0.542462	test-mlogloss:0.580994
[132]	train-mlogloss:0.541872	test-mlogloss:0.580598
[133]	train-mlogloss:0.541212	test-mlogloss:0.580188
[134]	train-mlogloss:0.540635	test-mlogloss:0.579845
[135]	train-mlogloss:0.539917	test-mlogloss:0.579362
[136]	train-mlogloss:0.539406	test-mlogloss:0.579036
[137]	train-mlogloss:0.538759	test-mlogloss:0.57862
[138]	train-mlogloss:0.538183	test-mlogloss:0.578309
[139]	train-mlogloss:0.537641	test-mlogloss:0.577968
[140]	train-mlogloss:0.537019	test-mlogloss:0.577505
[141]	train-mlogloss:0.536393	test-mlogloss:0.577095
[142]	train-mlogloss:0.535877	test-mlogloss:0.576796
[143]	train-mlogloss:0.535423	test-mlogloss:0.576531
[144]	train-mlogloss:0.534837	test-mlogloss:0.576173
[145]	train-mlogloss:0.534417	test-mlogloss:0.575878
[146]	train-mlogloss:0.533885	test-mlogloss:0.575599
[147]	train-mlogloss:0.533376	test-mlogloss:0.575207
[148]	train-mlogloss:0.532749	test-mlogloss:0.574833
[149]	train-mlogloss:0.532131	test-mlogloss:0.574469
[150]	train-mlogloss:0.531583	test-mlogloss:0.574162
[151]	train-mlogloss:0.530946	test-mlogloss:0.573843
[152]	train-mlogloss:0.530371	test-mlogloss:0.573431
[153]	train-mlogloss:0.529918	test-mlogloss:0.573129
[154]	train-mlogloss:0.5294	test-mlogloss:0.572858
[155]	train-mlogloss:0.528902	test-mlogloss:0.572562
[156]	train-mlogloss:0.52829	test-mlogloss:0.572212
[157]	train-mlogloss:0.527754	test-mlogloss:0.571929
[158]	train-mlogloss:0.527229	test-mlogloss:0.571697
[159]	train-mlogloss:0.52665	test-mlogloss:0.571338
[160]	train-mlogloss:0.52617	test-mlogloss:0.571086
[161]	train-mlogloss:0.525482	test-mlogloss:0.570681
[162]	train-mlogloss:0.525023	test-mlogloss:0.570445
[163]	train-mlogloss:0.524484	test-mlogloss:0.570154
[164]	train-mlogloss:0.524111	test-mlogloss:0.569939
[165]	train-mlogloss:0.523566	test-mlogloss:0.569615
[166]	train-mlogloss:0.523094	test-mlogloss:0.569371
[167]	train-mlogloss:0.522675	test-mlogloss:0.569116
[168]	train-mlogloss:0.522142	test-mlogloss:0.568813
[169]	train-mlogloss:0.521647	test-mlogloss:0.568538
[170]	train-mlogloss:0.521211	test-mlogloss:0.568312
[171]	train-mlogloss:0.520718	test-mlogloss:0.568075
[172]	train-mlogloss:0.520291	test-mlogloss:0.567895
[173]	train-mlogloss:0.519946	test-mlogloss:0.567687
[174]	train-mlogloss:0.519445	test-mlogloss:0.567435
[175]	train-mlogloss:0.519038	test-mlogloss:0.5672
[176]	train-mlogloss:0.518788	test-mlogloss:0.567112
[177]	train-mlogloss:0.518301	test-mlogloss:0.566853
[178]	train-mlogloss:0.517833	test-mlogloss:0.566652
[179]	train-mlogloss:0.517298	test-mlogloss:0.566382
[180]	train-mlogloss:0.516834	test-mlogloss:0.566134
[181]	train-mlogloss:0.516464	test-mlogloss:0.565951
[182]	train-mlogloss:0.516028	test-mlogloss:0.565734
[183]	train-mlogloss:0.515511	test-mlogloss:0.565503
[184]	train-mlogloss:0.5151	test-mlogloss:0.565338
[185]	train-mlogloss:0.514605	test-mlogloss:0.565136
[186]	train-mlogloss:0.514229	test-mlogloss:0.564926
[187]	train-mlogloss:0.513766	test-mlogloss:0.564697
[188]	train-mlogloss:0.513344	test-mlogloss:0.564525
[189]	train-mlogloss:0.512982	test-mlogloss:0.564381
[190]	train-mlogloss:0.512575	test-mlogloss:0.564208
[191]	train-mlogloss:0.512273	test-mlogloss:0.564091
[192]	train-mlogloss:0.511735	test-mlogloss:0.563784
[193]	train-mlogloss:0.511387	test-mlogloss:0.563634
[194]	train-mlogloss:0.511014	test-mlogloss:0.563445
[195]	train-mlogloss:0.510638	test-mlogloss:0.563313
[196]	train-mlogloss:0.510169	test-mlogloss:0.563109
[197]	train-mlogloss:0.509652	test-mlogloss:0.562903
[198]	train-mlogloss:0.509235	test-mlogloss:0.562736
[199]	train-mlogloss:0.508782	test-mlogloss:0.562554
[200]	train-mlogloss:0.508311	test-mlogloss:0.562334
[201]	train-mlogloss:0.50797	test-mlogloss:0.562179
[202]	train-mlogloss:0.507622	test-mlogloss:0.562018
[203]	train-mlogloss:0.507314	test-mlogloss:0.561882
[204]	train-mlogloss:0.506952	test-mlogloss:0.56179
[205]	train-mlogloss:0.506581	test-mlogloss:0.561638
[206]	train-mlogloss:0.506188	test-mlogloss:0.56143
[207]	train-mlogloss:0.505825	test-mlogloss:0.561334
[208]	train-mlogloss:0.505405	test-mlogloss:0.561165
[209]	train-mlogloss:0.50509	test-mlogloss:0.561031
[210]	train-mlogloss:0.504735	test-mlogloss:0.560879
[211]	train-mlogloss:0.50443	test-mlogloss:0.560767
[212]	train-mlogloss:0.503851	test-mlogloss:0.560476
[213]	train-mlogloss:0.503483	test-mlogloss:0.560419
[214]	train-mlogloss:0.50301	test-mlogloss:0.560198
[215]	train-mlogloss:0.502461	test-mlogloss:0.559946
[216]	train-mlogloss:0.502067	test-mlogloss:0.559761
[217]	train-mlogloss:0.501653	test-mlogloss:0.559596
[218]	train-mlogloss:0.501248	test-mlogloss:0.559442
[219]	train-mlogloss:0.500843	test-mlogloss:0.559271
[220]	train-mlogloss:0.500543	test-mlogloss:0.559156
[221]	train-mlogloss:0.500237	test-mlogloss:0.559027
