(49352, 15)
(74659, 14)
10                                                         
10000     Doorman Elevator Fitness_Center Cats_Allowed D...
100004    Laundry_In_Building Dishwasher Hardwood_Floors...
100007                               Hardwood_Floors No_Fee
100013                                              Pre-War
Name: features, dtype: object
((49352, 217), (74659, 217))
[0]	train-mlogloss:1.04062	test-mlogloss:1.04178
Multiple eval metrics have been passed: 'test-mlogloss' will be used for early stopping.

Will train until test-mlogloss hasn't improved in 20 rounds.
[100]	train-mlogloss:0.494545	test-mlogloss:0.568094
[101]	train-mlogloss:0.493997	test-mlogloss:0.56785
[102]	train-mlogloss:0.492982	test-mlogloss:0.567454
[103]	train-mlogloss:0.491988	test-mlogloss:0.567243
[104]	train-mlogloss:0.491271	test-mlogloss:0.56705
[105]	train-mlogloss:0.490384	test-mlogloss:0.566823
[106]	train-mlogloss:0.489787	test-mlogloss:0.56675
[107]	train-mlogloss:0.489169	test-mlogloss:0.566715
[108]	train-mlogloss:0.488248	test-mlogloss:0.566405
[109]	train-mlogloss:0.487406	test-mlogloss:0.566198
[110]	train-mlogloss:0.486319	test-mlogloss:0.5658
[111]	train-mlogloss:0.485622	test-mlogloss:0.565685
[112]	train-mlogloss:0.484798	test-mlogloss:0.565363
[113]	train-mlogloss:0.484163	test-mlogloss:0.565173
[114]	train-mlogloss:0.483401	test-mlogloss:0.564935
[115]	train-mlogloss:0.482716	test-mlogloss:0.564767
[116]	train-mlogloss:0.481681	test-mlogloss:0.564478
[117]	train-mlogloss:0.480965	test-mlogloss:0.564221
[118]	train-mlogloss:0.480108	test-mlogloss:0.564192
[119]	train-mlogloss:0.479411	test-mlogloss:0.563994
[120]	train-mlogloss:0.478656	test-mlogloss:0.563825
[121]	train-mlogloss:0.477781	test-mlogloss:0.563682
[122]	train-mlogloss:0.47694	test-mlogloss:0.563429
[123]	train-mlogloss:0.475875	test-mlogloss:0.563423
[124]	train-mlogloss:0.474901	test-mlogloss:0.563081
[125]	train-mlogloss:0.474137	test-mlogloss:0.563012
[126]	train-mlogloss:0.473332	test-mlogloss:0.562795
[127]	train-mlogloss:0.472544	test-mlogloss:0.562543
[128]	train-mlogloss:0.471945	test-mlogloss:0.562355
